participant_id,game,latency_ms,score,mean_time_ms,median_time_ms,throughput,n_trials,goals,saves,assists,shots,quality_rating,acceptable,game_display,score_z,score_pct_of_baseline
1,dave_the_diver,150,3.0,,,,,,,,,4.0,1.0,Dave the Diver,0.6602038673831118,100.0
1,dave_the_diver,0,2.7,,,,,,,,,5.0,1.0,Dave the Diver,0.40424790648996706,90.0
1,dave_the_diver,75,2.5,,,,,,,,,5.0,1.0,Dave the Diver,0.23361059922787028,83.33333333333334
1,dave_the_diver,225,1.0,,,,,,,,,3.2,0.0,Dave the Diver,-1.0461692052378542,33.33333333333333
1,half_life_2,75,15.0,,,,,,,,,4.5,1.0,Half-Life 2,0.8269652896205019,100.0
1,half_life_2,0,13.0,,,,,,,,,4.5,1.0,Half-Life 2,0.22763156055755984,86.66666666666667
1,half_life_2,150,11.0,,,,,,,,,2.2,0.0,Half-Life 2,-0.37170216850538224,73.33333333333333
1,half_life_2,225,10.0,,,,,,,,,1.5,0.0,Half-Life 2,-0.6713690330368532,66.66666666666666
1,fitts_law,0,4.790658311735123,809.6777777777778,769.5,4.790658311735123,27.0,,,,,5.0,1.0,Fitts Law,1.1698111871702495,100.0
1,fitts_law,150,2.97211188986933,1673.0749999999998,1585.15,2.97211188986933,12.0,,,,,1.1,0.0,Fitts Law,-0.3689004519176113,62.03973851754133
1,fitts_law,225,2.066381524572041,1802.0636363636365,1796.0,2.066381524572041,11.0,,,,,1.0,0.0,Fitts Law,-1.1352585927938685,43.133560987020616
1,fitts_law,75,3.755392231715994,1013.0714285714284,1010.5,3.755392231715994,21.0,,,,,3.0,1.0,Fitts Law,0.293850063646146,78.38989941146174
1,feeding_frenzy,0,1490.0,,,,,,,,,5.0,1.0,Feeding Frenzy,2.775452200071728,100.0
1,feeding_frenzy,150,980.0,,,,,,,,,3.5,1.0,Feeding Frenzy,1.3552375291320142,65.77181208053692
1,feeding_frenzy,75,920.0,,,,,,,,,4.0,1.0,Feeding Frenzy,1.1881534501979303,61.74496644295302
1,feeding_frenzy,225,140.0,,,,,,,,,2.3,0.0,Feeding Frenzy,-0.983939575945161,9.395973154362416
10,half_life_2,75,7.0,,,,,,,,,5.0,1.0,Half-Life 2,-1.5703696266312663,100.0
10,half_life_2,150,6.0,,,,,,,,,3.0,1.0,Half-Life 2,-1.8700364911627374,85.71428571428571
10,half_life_2,0,7.0,,,,,,,,,2.0,1.0,Half-Life 2,-1.5703696266312663,100.0
10,half_life_2,225,5.0,,,,,,,,,2.0,1.0,Half-Life 2,-2.1697033556942085,71.42857142857143
10,fitts_law,225,1.9199826695763542,1820.2,1738.75,1.9199826695763542,12.0,,,,,1.0,0.0,Fitts Law,-1.2591298448127646,45.538280668630954
10,fitts_law,0,4.216194905441246,1034.071428571429,957.4,4.216194905441246,21.0,,,,,5.0,1.0,Fitts Law,0.6837452177420135,100.0
10,fitts_law,150,2.116386712504217,1531.0466666666669,1448.4,2.116386712504217,15.0,,,,,1.0,0.0,Fitts Law,-1.092948116822036,50.19660523219398
10,fitts_law,75,3.2242297516302396,1224.6555555555558,1167.55,3.2242297516302396,18.0,,,,,3.0,1.0,Fitts Law,-0.15557805131843364,76.47250243268361
