participant_id,game,latency_ms,quality_rating,acceptable
1,dave_the_diver,150,4.0,1
1,dave_the_diver,0,5.0,1
1,dave_the_diver,75,5.0,1
1,dave_the_diver,225,3.2,0
1,half_life_2,75,4.5,1
1,half_life_2,0,4.5,1
1,half_life_2,150,2.2,0
1,half_life_2,225,1.5,0
1,fitts_law,0,5.0,1
1,fitts_law,150,1.1,0
1,fitts_law,225,1.0,0
1,fitts_law,75,3.0,1
1,feeding_frenzy,0,5.0,1
1,feeding_frenzy,150,3.5,1
1,feeding_frenzy,75,4.0,1
1,feeding_frenzy,225,2.3,0
10,half_life_2,75,5.0,1
10,half_life_2,150,3.0,1
10,half_life_2,0,2.0,1
10,half_life_2,225,2.0,1
10,fitts_law,225,1.0,0
10,fitts_law,0,5.0,1
10,fitts_law,150,1.0,0
10,fitts_law,75,3.0,1
10,feeding_frenzy,0,5.0,1
10,feeding_frenzy,75,5.0,1
10,feeding_frenzy,225,2.0,0
10,feeding_frenzy,150,4.0,1
11,dave_the_diver,0,4.5,1
11,dave_the_diver,225,3.0,0
11,dave_the_diver,150,4.0,1
11,dave_the_diver,75,4.0,1
11,rocket_league,0,4.5,1
11,rocket_league,75,4.5,1
11,rocket_league,225,3.0,0
11,rocket_league,150,3.0,0
11,half_life_2,225,2.0,0
11,half_life_2,0,3.5,0
11,half_life_2,150,2.0,0
11,half_life_2,75,3.0,0
11,fitts_law,75,3.0,0
11,fitts_law,0,5.0,1
11,fitts_law,225,2.0,0
11,fitts_law,150,2.0,0
11,feeding_frenzy,225,3.0,0
11,feeding_frenzy,75,4.0,1
11,feeding_frenzy,150,3.0,0
11,feeding_frenzy,0,4.5,1
12,dave_the_diver,75,5.0,1
12,dave_the_diver,0,4.0,1
12,dave_the_diver,150,3.0,1
12,dave_the_diver,225,1.0,0
12,rocket_league,225,2.0,0
12,rocket_league,0,4.0,1
12,rocket_league,75,5.0,1
12,rocket_league,150,5.0,1
12,half_life_2,225,1.0,0
12,half_life_2,0,3.0,1
12,half_life_2,75,2.0,0
12,half_life_2,150,2.0,0
12,fitts_law,0,4.0,1
12,fitts_law,150,2.0,0
12,fitts_law,225,1.0,0
12,fitts_law,75,2.0,0
12,feeding_frenzy,150,1.0,0
12,feeding_frenzy,75,2.0,1
12,feeding_frenzy,0,3.0,1
12,feeding_frenzy,225,1.0,0
13,dave_the_diver,75,4.0,1
13,dave_the_diver,150,3.0,1
13,dave_the_diver,225,2.0,1
13,dave_the_diver,0,5.0,1
13,half_life_2,0,5.0,1
13,half_life_2,75,4.0,1
13,half_life_2,150,3.0,0
13,half_life_2,225,2.0,0
13,fitts_law,75,4.0,1
13,fitts_law,150,2.5,0
13,fitts_law,225,1.0,0
13,fitts_law,0,5.0,1
13,feeding_frenzy,225,2.5,0
13,feeding_frenzy,150,4.0,1
13,feeding_frenzy,75,4.5,1
13,feeding_frenzy,0,5.0,1
14,dave_the_diver,150,5.0,1
14,dave_the_diver,225,3.0,1
14,dave_the_diver,75,5.0,1
14,dave_the_diver,0,5.0,1
14,rocket_league,225,2.0,0
14,rocket_league,150,4.0,1
14,rocket_league,75,5.0,1
14,rocket_league,0,5.0,1
14,half_life_2,75,3.0,1
14,half_life_2,225,1.0,0
14,half_life_2,150,2.0,0
14,half_life_2,0,5.0,1
14,fitts_law,0,5.0,1
14,fitts_law,75,3.0,0
14,fitts_law,150,2.0,0
14,fitts_law,225,1.0,0
14,feeding_frenzy,0,5.0,1
14,feeding_frenzy,75,5.0,1
14,feeding_frenzy,225,3.0,1
14,feeding_frenzy,150,4.0,1
15,dave_the_diver,75,5.0,1
15,dave_the_diver,0,5.0,1
15,dave_the_diver,150,5.0,1
15,dave_the_diver,225,3.0,1
15,rocket_league,75,4.0,1
15,rocket_league,0,3.0,0
15,rocket_league,150,1.0,0
15,rocket_league,225,2.0,0
15,half_life_2,225,1.0,0
15,half_life_2,150,1.0,0
15,half_life_2,0,5.0,1
15,half_life_2,75,5.0,1
15,fitts_law,0,5.0,1
15,fitts_law,150,1.0,0
15,fitts_law,75,2.0,0
15,fitts_law,225,1.0,0
15,feeding_frenzy,0,5.0,1
15,feeding_frenzy,225,2.0,0
15,feeding_frenzy,75,4.0,1
15,feeding_frenzy,150,3.0,1
16,dave_the_diver,75,3.5,1
16,dave_the_diver,225,3.0,1
16,dave_the_diver,150,5.0,1
16,dave_the_diver,0,5.0,1
16,rocket_league,225,1.5,0
16,rocket_league,75,4.0,1
16,rocket_league,0,3.7,1
16,rocket_league,150,1.0,0
16,half_life_2,225,2.5,0
16,half_life_2,0,4.6,1
16,half_life_2,75,3.8,1
16,half_life_2,150,2.0,0
16,fitts_law,225,1.0,0
16,fitts_law,75,3.0,1
