outcome,game,f_statistic,p_value,n_groups,total_n
Performance (z),All,74.83270521594298,8.871518366278659e-40,4,488
QoE Quality,All,94.41009315444312,4.2702667430467235e-48,4,487
Performance,Dave the Diver,3.187985674075875,0.028121147238934018,4,84
QoE Quality,Dave the Diver,10.90046936746335,4.554851619410048e-06,4,83
Performance,Feeding Frenzy,23.732706785729995,8.832993273522122e-12,4,108
QoE Quality,Feeding Frenzy,14.389180709593777,6.55098973300318e-08,4,108
Performance,Fitts Law,188.4645910010069,5.20746536454215e-41,4,104
QoE Quality,Fitts Law,116.28246211362566,1.7649181280066783e-32,4,104
Performance,Half-Life 2,17.129042083354477,4.72252614225548e-09,4,104
QoE Quality,Half-Life 2,43.57813118093714,4.2600930192453616e-18,4,104
Performance,Rocket League,2.790698490081116,0.04544519054877869,4,88
QoE Quality,Rocket League,7.295076302908147,0.0002091548922735429,4,88
