analysis,game,outcome,pearson_r,pearson_p,spearman_rho,spearman_p,n
Overall,All,Performance (z),-0.45422258750757893,1.1197396104655615e-16,-0.5182922422349859,5.043703070544553e-22,300
Overall,All,QoE Quality,-0.671026581651753,1.7705554283572682e-40,-0.6727511572008985,9.43098217367673e-41,299
Overall,All,Acceptability,,,0.5011755222232614,2.024389969405004e-20,299
Per-game,Dave the Diver,Performance,-0.09689832996971515,0.48578023839009293,-0.3542142391408545,0.008593209447648482,54
Per-game,Dave the Diver,QoE Quality,-0.5943185627313106,2.7068660194981773e-06,,,53
Per-game,Feeding Frenzy,Performance,-0.3013621592045896,0.012511555493110886,-0.2982241035019488,0.01350698659844937,68
Per-game,Feeding Frenzy,QoE Quality,-0.6343446661883505,6.322400702261527e-09,,,68
Per-game,Fitts Law,Performance,-0.9181900009258497,1.2777459340309854e-26,-0.9312938658941196,6.950790214782734e-29,64
Per-game,Fitts Law,QoE Quality,-0.8738610993650495,4.381812319348076e-21,,,64
Per-game,Half-Life 2,Performance,-0.5413852380928068,3.850638838947554e-06,-0.6014329652767728,1.4752147926372588e-07,64
Per-game,Half-Life 2,QoE Quality,-0.7420979245226063,2.2725105309231616e-12,,,64
Per-game,Rocket League,Performance,-0.34198138500973674,0.0150656126546146,-0.3376150388306899,0.016494415236132993,50
Per-game,Rocket League,QoE Quality,-0.6039545061211199,3.4238162908407282e-06,,,50
