,,score,score,score,quality_rating,quality_rating,acceptable
,,count,mean,std,mean,std,mean
game_display,latency_ms,,,,,,
Dave the Diver,0,21,2.538,1.129,4.548,0.669,1.0
Dave the Diver,75,21,2.61,1.149,4.238,0.785,0.952
Dave the Diver,150,21,2.095,1.028,3.85,1.001,0.85
Dave the Diver,225,21,1.662,1.2,2.986,1.21,0.667
Feeding Frenzy,0,27,818.519,345.985,4.314,0.979,0.963
Feeding Frenzy,75,27,566.667,306.419,3.874,0.962,0.926
Feeding Frenzy,150,27,386.667,310.521,3.537,1.08,0.852
Feeding Frenzy,225,27,201.481,70.749,2.626,0.89,0.444
Fitts Law,0,26,5.013,0.568,4.8,0.4,1.0
Fitts Law,75,26,3.742,0.509,2.95,0.788,0.538
Fitts Law,150,26,2.696,0.449,1.946,0.787,0.231
Fitts Law,225,26,2.181,0.286,1.5,0.721,0.192
Half-Life 2,0,26,14.731,2.961,4.504,0.788,0.962
Half-Life 2,75,26,13.308,2.346,3.819,0.904,0.846
Half-Life 2,150,26,11.269,2.554,2.523,1.185,0.346
Half-Life 2,225,26,9.654,3.085,1.735,0.938,0.192
Rocket League,0,22,209.091,143.505,4.241,0.83,0.909
Rocket League,75,22,205.091,131.663,4.232,0.772,0.955
Rocket League,150,22,145.636,119.807,3.523,1.362,0.773
Rocket League,225,22,119.409,99.312,2.977,1.17,0.591
